"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","118.174480910159","113.012628785577","105.017364541816","95.789565658052","94.7117828213514","94.1208705593213","95.2867424025648","99.2349748800379","102.361995577841","100.126713833231","98.9356649544138","103.174379629723","101.64793696407","102.544331628738","102.464538896158","104.156369557067","107.972129203906","105.207267196195","98.9174295361809","98.7313705361806","97.0077047138663","93.0163146062617","93.6286218994066","95.1096931161385","99.7025949525672","101.304267641762","101.049908736356","100.609809839528","101.417645279946","104.148361530527","104.213173326379","100","100.752573990674","98.4852416837058","100.151657247067","99.9129592559118","94.8948855770134","97.717083964473","99.078991229986","101.491498894572","100.092010601816","101.543962944941",
"Benin","BEN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.41157401302","45.4622862666177","53.5903514226957","46.2208049082979","56.5073762516753","65.4261868790124","67.0585693029934","69.2562506376864","72.501602884549","75.7030756889698","78.9049316386759","82.747073443591","83.0464265710694","86.6376966763185","91.6534369573537","99.6600320319583","103.875810146548","100","101.451483444727","100.020751834915","100.918509889822","100.107681209426","96.8168262960887","96.97494938914","98.0351585623938","101.31273979068","101.814446820692","104.675508856353",
"Bahrain","BHR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","174.718123846243","193.445618568597","216.687568113507","224.675697575643","229.855699693792","223.397196661018","182.003953923307","157.340530180885","145.818321329708","148.030356310998","135.959999540363","131.074772466548","124.347585924008","130.4932016108","125.97928256659","120.132279348245","119.444163824736","127.319849457043","130.215663791296","126.375452959648","129.221906157175","133.137294404905","136.228105872713","125.670654851688","114.926141367919","109.118662128658","111.985719583043","105.087140237489","97.8406039574836","102.429896072962","100","93.1346938024488","95.7103194470101","97.7222133489258","99.32259732894","107.046139854291","110.213010403605","110.127695238197","109.306504175572","112.046269372622","108.759544541598",
"Bahamas, The","BHS","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","101.248450069302","106.397229848681","109.309379701492","112.580825434683","115.810902215286","118.277510092354","114.434861765164","112.060103274701","110.848825754981","112.952753354173","109.404268159853","112.789289079542","115.664048263133","118.186443179327","113.567460818624","106.916691230718","107.245213245532","111.739362908583","118.082732531226","115.235500442353","117.132147477694","120.517148637376","119.111868339108","113.058424413177","105.976583477917","102.053171413096","101.069888335762","99.4171151272254","98.4052954892143","101.085092198454","100","99.3397503711025","99.2656895025098","98.7045364991734","99.0307491936012","102.260511319161","101.317824561485","100.719007091525","100.499286486937","101.86039752485","100.282416431811",
"Bosnia and Herzegovina","BIH","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","126.280782543778","131.181046587685","141.711146182165","126.912058010461","117.704736555965","115.125775255468","115.84714471624","109.93088350751","106.495877628348","103.221180120721","105.00728942921","104.64735351677","102.630333466804","106.805502783968","108.332157852836","111.746999119859","112.471455876197","114.198657359949","115.247366645498","114.688395297268","111.897077243972","108.407468679563","105.92443049976","106.444051097216","101.248961438156","99.8400192697454","102.598760278151","100","95.3696100040789","96.9845741193979","95.4145957152587","96.355847951259","102.615469004499","104.387945663362","102.633770413225","99.9044844927886","100.102240320958","99.5408080176588",
"Bermuda","BMU","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","173.927859281951","220.87011883177","238.505764203661","222.453071400036","293.456076610136","503.730231661338","147.498292993176","140.048149322056","133.898001414487","128.861200392223","106.324382664701","110.462288360479","108.583205984353","107.498356607813","102.569943016553","99.8311240169914","104.465937800051","106.769924087893","111.655578332526","114.978603186972","113.124853364343","111.144295642932","109.518768942019","98.5677864172861","92.1171804999306","87.0466004420181","85.4837446664217","86.654649069257","97.2144430324902","105.952140033573","100","102.288707435414","106.659485109218","112.278350497631","120.089672290858","137.691481598907","143.33134896414","140.11152333163","143.234637705384","149.806007679058","157.578575337887",
"Brazil","BRA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","84.2346352816886","97.9372056164344","106.158984512058","81.4350420699546","72.6266467530152","70.2456512154396","67.0421010541159","69.5857609975463","69.028751933069","92.4352862789456","114.567074455273","96.3165063869763","84.7274778190252","89.0923866652961","92.8141570780582","101.546715466548","107.124979729333","109.87821784401","106.81810352753","71.0148805042169","76.5738898449604","63.9383885358433","60.9356547867497","57.5933282465214","60.4496175277373","73.4623729073773","81.7282941820187","87.4322807909091","90.3724589476773","89.159361278323","100","103.181711192658","92.0110766592032","86.4261858544858","84.5919084211197","69.6253380913943","73.0449117272107","79.2584355872393","70.9825358524835","69.6816118419185","55.3158896355791",
"Barbados","BRB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","202.922313840116","177.289093202274","174.394202938354","178.913801288574","168.617449744253","179.785999711734","188.64697454922","174.25077873255","160.836712810873","153.949038588855","155.621223311798","144.132562338638","141.322720072051","132.646220810977","83.0853489879443","98.1793282540681","99.9929057258267","96.4564118516508","94.204110719025","90.1211753871101","87.2693439920527","89.1476239155357","91.0989421973932","97.129092935275","94.1768588325669","93.3226360648224","96.7171551221999","97.7196772092586","104.386744116162","106.627950534327","100","98.4128052926261","97.464780426707","105.174628901758","119.919561820399","112.959362338163","119.446145394578","124.326707918153","127.941807356557","127.44705221124","131.730344408774",
"Canada","CAN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","93.8848252181333","92.2466203774374","96.8589937482761","103.380855101738","107.983425510636","105.952164622283","102.198786722793","92.4816694020061","92.6225947930472","97.8757722059374","104.859184793154","103.712086521505","106.644229219834","97.799845717726","91.4288675248742","83.5269054216547","80.7998695871492","81.6680928236206","80.8860311515576","76.1850209051011","75.2588452062239","75.6281012644283","73.404644716388","72.762559228394","80.9507826000357","85.4419431141046","90.5380993631669","95.533735749053","98.5950839526862","95.9858222763403","91.5745182437303","100","101.563393063461","101.076320014714","97.4775744278927","91.4843990533256","83.1329579418099","81.531204680995","82.7449486305734","82.2972497399865","81.5175854447118","80.6289315532409",
"Central Europe and the Baltics","CEB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","93.0766031202567","85.6983083298866","84.9898855237605","89.9556810682333","91.4237196126479","88.5432368535103","86.8766075290855","92.6913484684586","96.2331991253573","95.03954052776","89.69403917761","96.0390082560977","95.3709341040739","93.6244336211345","95.6678120862738","100.132797982125","106.705162613387","103.528438374621","95.3443126604054","96.5689293735372","94.7366275743396","92.2971955768204","94.68384349828","98.0796206204346","98.3652880988594","97.3575355296497","95.4770915112058","92.8957146270953","89.0423545238424","92.5244612467326","96.0862568529446","100","109.471848570116","105.343578538356","103.602673157161","104.245039793717","110.496446117986","108.140522545854","105.997777247805","103.066824247015","104.179173409107","108.112955542586",
"Channel Islands","CHI","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","164.325462589297","194.816208085372","175.700414937977","143.911128247552","142.69964047471","120.733441640059","101.661909215327","93.3967638635554","87.7585843203173","90.1239332545698","86.2599339941135","88.3060491096072","93.2957382465749","95.1319358489812","98.4663327764709","104.417052901803","106.936434419035","114.774758518315","112.733205844856","107.368570943708","106.509285500088","95.9402896718927","91.6703663784452","86.2220959774874","91.0354493638336","96.3228837212705","100.139513911702","97.5150236830186","98.2633106915294","95.1325046768806","100","100.71007222728","102.905368376605","101.349634972361","91.8664849139825","90.98945388138","92.621132981824","95.7343671741594","97.0980733533292","92.5103751246968","84.8928782819796",
"China","CHN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","269.752760230035","242.070423486207","230.93659169827","227.007795250352","202.337080886617","171.749619373012","124.07017654789","107.179447386602","117.1698184978","136.308914346403","100.536583304312","88.3014921705605","84.5470308522297","89.961138110563","70.5247627007079","78.5981291749488","86.3511096157524","93.0037843443713","98.0155149043187","92.6874399442871","92.7652236177653","96.7641283875571","94.5519326221839","88.3759339208303","85.8461310325","84.9163847104303","86.2545236478959","89.3294060415961","97.0106599223794","101.10540911123","100","102.695709824648","108.677032283724","114.617034533679","118.314435939271","129.970373807975","123.670343009645","120.093625583434","121.739483298425","120.888442013136","123.382056225646",
